Date,Open,High,Low,Close,Adj Close,Volume
2007-09-17,0.4000000059604645,0.4000000059604645,0.3499999940395355,0.4000000059604645,0.4000000059604645,3000
2007-09-18,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2007-09-19,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2007-09-20,0.3700000047683716,0.3700000047683716,0.3499999940395355,0.36000001430511475,0.36000001430511475,11500
2007-09-21,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.36000001430511475,4165
2007-09-25,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,634
2007-09-26,0.30000001192092896,0.33000001311302185,0.30000001192092896,0.3100000023841858,0.3100000023841858,6383
2007-09-27,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,86
2007-09-28,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,315
2007-10-01,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,12
2007-10-02,0.3050000071525574,0.3199999928474426,0.3050000071525574,0.3199999928474426,0.3199999928474426,3776
2007-10-03,0.3199999928474426,0.3199999928474426,0.30000001192092896,0.30000001192092896,0.30000001192092896,46907
2007-10-04,0.30000001192092896,0.32499998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,4020
2007-10-05,0.25,0.25,0.25,0.25,0.25,1057
2007-10-08,0.25,0.25,0.25,0.25,0.25,0
2007-10-09,0.18000000715255737,0.18000000715255737,0.1599999964237213,0.1599999964237213,0.1599999964237213,42306
2007-10-10,0.16500000655651093,0.1899999976158142,0.15000000596046448,0.1899999976158142,0.1899999976158142,141122
2007-10-11,0.20000000298023224,0.27000001072883606,0.20000000298023224,0.27000001072883606,0.27000001072883606,79428
2007-10-12,0.25,0.25,0.25,0.25,0.25,740
2007-10-15,0.25,0.25,0.25,0.25,0.25,0
2007-10-16,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,15500
2007-10-17,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0
2007-10-18,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,5091
2007-10-19,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,1269
2007-10-22,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,57
2007-10-23,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0
2007-10-24,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,158
2007-10-25,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,7
